list-none-none,1,10,1,30,176755,5891
list-none-none,1,100,1,300,150380,501
list-none-none,1,1000,1,3000,3448359,1149
list-none-none,1,10000,1,30000,685864178,22862
list-none-none,1,20000,1,60000,3557677268,59294
list-none-none,2,1,1,6,116155,19359
list-none-none,2,10,1,60,158736,2645
list-none-none,4,1,1,12,187836,15653
list-none-none,4,10,1,120,176847,1473
list-none-none,8,1,1,24,305789,12741
list-none-none,8,10,1,240,291734,1215
list-none-none,12,1,1,36,371512,10319
list-none-none,12,10,1,360,391385,1087
list-i-none,2,1,1,6,127134,21189
list-i-none,2,2,1,12,129982,10831
list-i-none,2,4,1,24,132192,5508
list-i-none,2,16,1,96,219722,2288
list-i-none,2,32,1,192,439598,2289
list-i-none,4,1,1,12,165728,13810
list-i-none,4,2,1,24,139500,5812
list-i-none,4,4,1,48,177519,3698
list-i-none,4,8,1,96,194687,2027
list-i-none,4,16,1,192,264080,1375
list-i-none,8,1,1,24,220736,9197
list-i-none,8,2,1,48,230674,4805
list-i-none,8,4,1,96,273417,2848
list-i-none,12,1,1,36,335372,9315
list-i-none,12,2,1,72,362688,5037
list-i-none,12,4,1,144,355297,2467
list-d-none,2,1,1,6,128656,21442
list-d-none,2,2,1,12,142934,11911
list-d-none,2,4,1,24,116850,4868
list-d-none,2,8,1,48,155280,3235
list-d-none,2,16,1,96,210411,2191
list-d-none,2,32,1,192,370633,1930
list-d-none,4,1,1,12,221244,18437
list-d-none,4,2,1,24,187531,7813
list-d-none,4,4,1,48,168796,3516
list-d-none,4,8,1,96,216451,2254
list-d-none,8,1,1,24,245565,10231
list-d-none,8,2,1,48,253013,5271
list-d-none,8,4,1,96,307948,3207
list-d-none,12,2,1,72,361340,5018
list-d-none,12,4,1,144,371978,2583
list-d-none,12,8,1,288,396326,1376
list-il-none,2,1,1,6,103083,17180
list-il-none,2,2,1,12,100932,8411
list-il-none,2,4,1,24,170924,7121
list-il-none,2,8,1,48,106554,2219
list-il-none,2,16,1,96,213355,2222
list-il-none,2,32,1,192,414726,2160
list-il-none,4,1,1,12,176543,14711
list-il-none,4,4,1,48,205735,4286
list-il-none,4,8,1,96,206651,2152
list-il-none,8,1,1,24,283115,11796
list-il-none,8,2,1,48,297647,6200
list-il-none,8,8,1,192,288205,1501
list-il-none,12,1,1,36,367714,10214
list-il-none,12,2,1,72,343203,4766
list-il-none,12,4,1,144,365017,2534
list-il-none,12,8,1,288,417770,1450
list-dl-none,2,1,1,6,156796,26132
list-dl-none,2,2,1,12,164503,13708
list-dl-none,2,4,1,24,113197,4716
list-dl-none,2,8,1,48,106352,2215
list-dl-none,2,16,1,96,220768,2299
list-dl-none,2,32,1,192,423151,2203
list-dl-none,4,1,1,12,178229,14852
list-dl-none,4,2,1,24,183130,7630
list-dl-none,8,1,1,24,267038,11126
list-dl-none,8,2,1,48,300367,6257
list-dl-none,8,4,1,96,377081,3927
list-dl-none,8,8,1,192,341880,1780
list-dl-none,12,1,1,36,371569,10321
list-dl-none,12,4,1,144,378992,2631
list-i-m,12,32,1,1152,26171151,22718
list-d-m,12,32,1,1152,25156483,21837
list-il-m,12,32,1,1152,27527024,23894
list-dl-m,12,32,1,1152,22524774,19552
list-i-s,12,32,1,1152,22045693,19136
list-d-s,12,32,1,1152,26941724,23386
list-il-s,12,32,1,1152,18345424,15924
list-dl-s,12,32,1,1152,18576386,16125
list-none-none,1,1000,1,3000,3641624,1213
list-none-m,1,1000,1,3000,3492346,1164
list-none-m,2,1000,1,6000,22420590,3736
list-none-m,4,1000,1,12000,88911476,7409
list-none-m,8,1000,1,24000,382417792,15934
list-none-m,12,1000,1,36000,1014981965,28193
list-none-m,16,1000,1,48000,1777354768,37028
list-none-m,24,1000,1,72000,4105459576,57020
list-none-s,1,1000,1,3000,3435805,1145
list-none-s,2,1000,1,6000,7455745,1242
list-none-s,4,1000,1,12000,125022414,10418
list-none-s,8,1000,1,24000,759280419,31636
list-none-s,12,1000,1,36000,1131883743,31441
list-none-s,16,1000,1,48000,3292800378,68600
list-none-s,24,1000,1,72000,9002093864,125029
